,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,16948.88,16843.15,23193.52,45292.03,17463.65,21003.85,43653.1,17446.34,18551.58,45952.22,22304.23,25232.29,45184.5,6830.66,15556.52,49033.99,20910.62,18156.55,32645.2,23351.26,49436.12,22880.96,9347.55
1,16948.88,0.0,42609.03,13310.2,32617.48,8092.85,4570.03,26175.67,8900.04,10145.23,26491.21,9521.48,48208.34,27056.85,13157.31,37327.97,28640.77,43196.96,8434.33,52487.81,10745.03,36630.06,46470.56,10976.41
2,16843.15,42609.03,0.0,51789.53,47608.65,40746.92,48157.75,47523.74,38790.46,42878.58,51997.95,54385.42,13449.19,48731.56,32892.35,7101.27,53151.69,3647.05,29763.89,20446.92,47264.77,49898.77,9252.29,30228.95
3,23193.52,13310.2,51789.53,0.0,54564.63,17938.98,12855.7,47341.23,15538.86,5916.38,48445.25,7834.95,58799.09,48233.02,12417.21,40248.6,51384.86,58934.22,12916.95,53289.45,23868.59,60414.1,62154.02,14847.42
4,45292.03,32617.48,47608.65,54564.63,0.0,28419.83,38658.94,4868.61,32285.87,49209.06,6552.81,49739.59,52504.21,3414.18,50781.51,54383.28,6321.15,43089.42,29209.74,56201.94,15941.24,8593.68,51737.41,47423.65
5,17463.65,8092.85,40746.92,17938.98,28419.83,0.0,10808.71,20042.97,4485.37,12464.74,21285.44,12416.15,43977.92,21978.8,15474.36,33602.52,22750.2,47900.19,8548.4,45580.91,6716.19,29065.63,47811.49,14562.68
6,21003.85,4570.03,48157.75,12855.7,38658.94,10808.71,0.0,30233.95,11451.28,7943.19,30973.34,6881.28,49529.34,31665.35,13063.91,39951.74,33483.81,51390.07,11110.4,52960.12,11052.26,43101.3,49999.76,12268.55
7,43653.1,26175.67,47523.74,47341.23,4868.61,20042.97,30233.95,0.0,24423.6,42216.13,5600.75,40353.05,48398.44,5019.83,45662.17,52568.78,6045.97,43756.88,25609.18,52551.43,11223.8,9678.97,48499.28,43994.0
8,17446.34,8900.04,38790.46,15538.86,32285.87,4485.37,11451.28,24423.6,0.0,11536.62,25820.79,14560.93,43852.44,25713.3,15465.32,30600.69,27677.75,46440.98,5619.1,43014.09,12171.7,33004.36,48912.88,14194.3
9,18551.58,10145.23,42878.58,5916.38,49209.06,12464.74,7943.19,42216.13,11536.62,0.0,44588.79,5721.73,54683.16,44423.75,8857.03,33865.8,47347.4,50103.13,11388.58,51767.54,19152.91,54324.41,55780.92,10725.38
10,45952.22,26491.21,51997.95,48445.25,6552.81,21285.44,30973.34,5600.75,25820.79,44588.79,0.0,42835.44,57692.25,2681.38,48878.09,57056.58,1791.65,48134.36,25459.43,61683.82,11621.66,7078.52,56273.51,46070.32
11,22304.23,9521.48,54385.42,7834.95,49739.59,12416.15,6881.28,40353.05,14560.93,5721.73,42835.44,0.0,53332.25,42845.61,13196.18,40679.91,45512.78,61176.1,11321.25,52515.43,18998.07,52501.25,55758.13,12301.24
12,25232.29,48208.34,13449.19,58799.09,52504.21,43977.92,49529.34,48398.44,43852.44,54683.16,57692.25,53332.25,0.0,55659.77,43901.07,15352.02,60503.79,10889.0,44505.04,10284.91,45086.31,51865.68,4248.18,43642.31
13,45184.5,27056.85,48731.56,48233.02,3414.18,21978.8,31665.35,5019.83,25713.3,44423.75,2681.38,42845.61,55659.77,0.0,48343.73,55228.42,3423.64,44612.94,24826.51,59553.67,13323.76,7259.81,54491.07,45619.6
14,6830.66,13157.31,32892.35,12417.21,50781.51,15474.36,13063.91,45662.17,15465.32,8857.03,48878.09,13196.18,43901.07,48343.73,0.0,24648.42,52106.42,40468.93,15096.29,51176.6,20952.21,56300.14,42637.62,6611.51
15,15556.52,37327.97,7101.27,40248.6,54383.28,33602.52,39951.74,52568.78,30600.69,33865.8,57056.58,40679.91,15352.02,55228.42,24648.42,0.0,59216.21,9427.14,25436.12,16973.91,42982.76,55036.24,10766.41,26756.27
16,49033.99,28640.77,53151.69,51384.86,6321.15,22750.2,33483.81,6045.97,27677.75,47347.4,1791.65,45512.78,60503.79,3423.64,52106.42,59216.21,0.0,47631.88,27045.22,62931.22,12057.52,5247.68,58498.98,49050.12
17,20910.62,43196.96,3647.05,58934.22,43089.42,47900.19,51390.07,43756.88,46440.98,50103.13,48134.36,61176.1,10889.0,44612.94,40468.93,9427.14,47631.88,0.0,34042.51,20203.66,46444.03,46023.68,7225.21,34936.17
18,18156.55,8434.33,29763.89,12916.95,29209.74,8548.4,11110.4,25609.18,5619.1,11388.58,25459.43,11321.25,44505.04,24826.51,15096.29,25436.12,27045.22,34042.51,0.0,39895.23,17223.1,31243.12,42172.63,13803.49
19,32645.2,52487.81,20446.92,53289.45,56201.94,45580.91,52960.12,52551.43,43014.09,51767.54,61683.82,52515.43,10284.91,59553.67,51176.6,16973.91,62931.22,20203.66,39895.23,0.0,51320.9,47182.3,13448.9,54103.08
20,23351.26,10745.03,47264.77,23868.59,15941.24,6716.19,11052.26,11223.8,12171.7,19152.91,11621.66,18998.07,45086.31,13323.76,20952.21,42982.76,12057.52,46444.03,17223.1,51320.9,0.0,17534.78,46579.01,20099.96
21,49436.12,36630.06,49898.77,60414.1,8593.68,29065.63,43101.3,9678.97,33004.36,54324.41,7078.52,52501.25,51865.68,7259.81,56300.14,55036.24,5247.68,46023.68,31243.12,47182.3,17534.78,0.0,55438.59,53059.42
22,22880.96,46470.56,9252.29,62154.02,51737.41,47811.49,49999.76,48499.28,48912.88,55780.92,56273.51,55758.13,4248.18,54491.07,42637.62,10766.41,58498.98,7225.21,42172.63,13448.9,46579.01,55438.59,0.0,40071.32
23,9347.55,10976.41,30228.95,14847.42,47423.65,14562.68,12268.55,43994.0,14194.3,10725.38,46070.32,12301.24,43642.31,45619.6,6611.51,26756.27,49050.12,34936.17,13803.49,54103.08,20099.96,53059.42,40071.32,0.0
