,0,1,2,3,4,5,6,7,8,9
0,0.0,16948.88,16843.15,23193.52,45292.03,17463.65,21003.85,43653.1,17446.34,18551.58
1,16948.88,0.0,42609.03,13310.2,32617.48,8092.85,4570.03,26175.67,8900.04,10145.23
2,16843.15,42609.03,0.0,51789.53,47608.65,40746.92,48157.75,47523.74,38790.46,42878.58
3,23193.52,13310.2,51789.53,0.0,54564.63,17938.98,12855.7,47341.23,15538.86,5916.38
4,45292.03,32617.48,47608.65,54564.63,0.0,28419.83,38658.94,4868.61,32285.87,49209.06
5,17463.65,8092.85,40746.92,17938.98,28419.83,0.0,10808.71,20042.97,4485.37,12464.74
6,21003.85,4570.03,48157.75,12855.7,38658.94,10808.71,0.0,30233.95,11451.28,7943.19
7,43653.1,26175.67,47523.74,47341.23,4868.61,20042.97,30233.95,0.0,24423.6,42216.13
8,17446.34,8900.04,38790.46,15538.86,32285.87,4485.37,11451.28,24423.6,0.0,11536.62
9,18551.58,10145.23,42878.58,5916.38,49209.06,12464.74,7943.19,42216.13,11536.62,0.0
